Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,t,t_square
04-Apr,0,0,0,1,0,0,0,0,0,0,0,0,160,25600
04-May,0,0,0,0,1,0,0,0,0,0,0,0,161,25921
04-Jun,0,0,0,0,0,1,0,0,0,0,0,0,162,26244
04-Jul,0,0,0,0,0,0,1,0,0,0,0,0,163,26569
04-Aug,0,0,0,0,0,0,0,1,0,0,0,0,164,26896
04-Sep,0,0,0,0,0,0,0,0,1,0,0,0,165,27225
04-Oct,0,0,0,0,0,0,0,0,0,1,0,0,166,27556
04-Nov,0,0,0,0,0,0,0,0,0,0,1,0,167,27889
04-Dec,0,0,0,0,0,0,0,0,0,0,0,1,168,28224
05-Jan,1,0,0,0,0,0,0,0,0,0,0,0,169,28561
05-Feb,0,1,0,0,0,0,0,0,0,0,0,0,170,28900
05-Mar,0,0,1,0,0,0,0,0,0,0,0,0,171,29241
